City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
171,bilibino,68.0546,166.4372,-24.83,88,100,1.93,RU,1674456241
172,tiksi,71.6872,128.8694,-32.77,97,100,2.13,RU,1674456241
173,yantai,37.5333,121.4,-6.37,70,100,11.83,CN,1674456242
174,goderich,43.7501,-81.7165,-1.16,100,19,2.06,CA,1674456008
175,grindavik,63.8424,-22.4338,-0.74,69,40,3.6,IS,1674456243
176,deputatskiy,69.3,139.9,-39.53,100,55,1.18,RU,1674456243
177,harper,4.375,-7.7169,26.15,82,91,4.12,LR,1674456125
178,kangaatsiaq,68.3065,-53.4641,-15.72,89,100,4.17,GL,1674456244
179,fortuna,40.5982,-124.1573,8.32,84,75,4.63,US,1674456244
180,yumen,40.2833,97.2,-10.9,27,0,3.58,CN,1674456245
181,mmathubudukwane,-24.6,26.4333,27.1,37,0,4.24,BW,1674456245
182,shimoda,34.6667,138.95,8.2,70,95,2.58,JP,1674456246
183,ilulissat,69.2167,-51.1,-7.99,86,100,3.09,GL,1674456246
184,naziya,59.8,31.3833,-9.18,96,87,0.47,RU,1674456247
185,bardiyah,31.7561,25.0865,13.65,62,0,3.38,LY,1674456247
186,cayenne,4.9333,-52.3333,24.02,88,75,1.54,GF,1674456248
187,turukhansk,65.8167,87.9833,-22.26,85,95,5.76,RU,1674456248
188,anchorage,61.2181,-149.9003,-1.71,81,100,2.24,US,1674456058
189,tuatapere,-46.1333,167.6833,13.17,61,14,3.17,NZ,1674456249
190,padang,-0.9492,100.3543,26.03,89,100,2.69,ID,1674456250
191,sioux lookout,50.1001,-91.917,-6.96,79,75,4.12,CA,1674456009
192,alyangula,-13.8483,136.4192,25.77,90,100,10.37,AU,1674455655
193,emba,48.8264,58.1442,-9.03,70,41,2.65,KZ,1674456251
194,beyneu,45.3167,55.2,0.07,28,0,5.13,KZ,1674456077
195,broken hill,-31.95,141.4333,31.76,17,79,3.17,AU,1674455982
196,bambanglipuro,-7.95,110.2833,29.74,66,97,4.61,ID,1674455671
197,tautira,-17.7333,-149.15,23.9,83,100,5.11,PF,1674456252
198,buin,-33.7333,-70.75,22.08,61,0,0.31,CL,1674456252
199,luxor,25.6989,32.6421,9.03,49,20,1.03,EG,1674456046
200,okmulgee,35.6234,-95.9605,0.77,86,0,0.0,US,1674456253
201,jega,12.2175,4.3792,21.93,21,45,3.53,NG,1674456254
202,bara,10.3744,10.7288,22.2,20,100,2.07,NG,1674456254
203,butaritari,3.0707,172.7902,27.3,76,100,5.31,KI,1674456255
204,faanui,-16.4833,-151.75,26.48,68,100,2.74,PF,1674456255
205,tuktoyaktuk,69.4541,-133.0374,-19.0,84,100,5.66,CA,1674456256
206,sobolevo,54.4299,31.8996,-0.11,90,100,2.49,RU,1674456256
207,cuamba,-14.8031,36.5372,21.22,96,100,1.92,MZ,1674456257
208,tocache,-8.1842,-76.5125,19.4,99,73,0.06,PE,1674456257
209,xining,36.6167,101.7667,0.28,11,0,11.8,CN,1674456258
210,meulaboh,4.1363,96.1285,25.04,87,100,0.96,ID,1674456258
211,huarmey,-10.0681,-78.1522,21.18,82,100,2.1,PE,1674456259
212,tashigang,27.3331,91.5542,18.32,44,73,3.14,BT,1674456260
213,waipawa,-41.4122,175.5153,13.6,73,35,2.06,NZ,1674456260
214,ahipara,-35.1667,173.1667,19.55,73,99,2.76,NZ,1674456261
215,polunochnoye,60.8697,60.4153,-10.75,89,42,1.74,RU,1674456261
216,san isidro,-12.1167,-77.05,22.23,83,20,3.6,PE,1674456261
217,provideniya,64.3833,-173.3,-21.9,82,50,7.42,RU,1674456262
218,namatanai,-3.6667,152.4333,27.84,75,100,4.03,PG,1674456262
219,ribeira brava,32.65,-17.0667,16.35,58,61,4.22,PT,1674456263
220,dahod,22.8333,74.2667,24.59,29,0,1.09,IN,1674456264
221,monrovia,6.3005,-10.7969,23.87,86,100,2.43,LR,1674456157
222,odlabari,26.8333,88.6167,25.04,33,61,2.91,IN,1674456264
